ambushID,wolf,trailLength,season,ambushDate
BHA_154,V028,9,Spring,5/4/18
BHA_156,V064,22,Spring,5/13/18
BHA_157,V064,12,Spring,5/14/18
BHA_163,V066,24,Spring,5/13/18
BHA_172,V066,36,Spring,5/21/18
BHA_173,V066,36,Spring,5/21/18
BHA_182,V068,8,Spring,5/22/18
BHA_186,V064,11,Spring,5/28/18
BHA_193,V061,7,Spring,6/12/18
BHA_194,V028,23,Spring,6/10/18
BHA_196,V028,22,Summer,6/23/18
BHA_201,V028,17,Summer,6/26/18
BHA_204,V066,45,Summer,6/28/18
BHA_210,V062,22,Summer,7/9/18
BHA_211,V028,14,Summer,7/11/18
BHA_212,V066,17,Summer,7/11/18
BHA_214,V028,8,Summer,7/8/18
BHA_217,V064,10,Summer,7/12/18
BHA_226,V028,15,Summer,7/22/18
BHA_229,V062,50,Summer,8/4/18
BHA_239,V062,22,Summer,8/12/18
BHA_241,V066,13.5,Summer,8/10/18
BHA_242,V066,25,Summer,8/14/18
BHA_245,V066,32,Summer,8/12/18
BHA_246,V066,9,Summer,8/15/18
BHA_247,V066,16,Summer,8/13/18
BHA_248,V061,41,Summer,8/18/18
BHA_249,V066,17,Summer,8/13/18
BHA_250,V061,33,Summer,8/19/18
BHA_253,V066,3,Summer,8/17/18
BHA_259,V066,3,Summer,8/19/18
BHA_262,V072,46,Summer,8/23/18
BHA_263,V066,11,Summer,8/22/18
BHA_264,V064,16,Summer,8/23/18
BHA_265,V064,30,Summer,8/25/18
BHA_266,V066,5,Summer,8/25/18
BHA_267,V066,53,Summer,8/25/18
BHA_270,V066,12,Summer,8/31/18
BHA_274,V066,43,Summer,8/24/18
BHA_275,V066,14,Summer,8/24/18
BHA_278,V066,9,Summer,9/2/18
BHA_279,V066,26,Summer,8/26/18
BHA_281,V066,7,Summer,9/2/18
BHA_284,V028,32,Summer,8/27/18
BHA_285,V028,49,Summer,8/27/18
BHA_288,V028,6,Summer,8/26/18
BHA_289,V028,12,Summer,8/30/18
BHA_290,V028,5,Summer,8/31/18
BHA_291,V028,10,Summer,8/31/18
BHA_292,V028,15,Summer,8/31/18
BHA_293,V028,26,Summer,9/3/18
BHA_296,V028,37,Summer,8/30/18
BHA_298,V072,18,Summer,9/4/18
BHA_300,V072,35,Summer,8/26/18
BHA_301,V061,30,Summer,9/1/18
BHA_302,V064,33,Summer,8/31/18
BHA_304,V066,50,Summer,9/7/18
BHA_305,V066,28,Summer,9/7/18
BHA_306,V066,40,Summer,9/7/18
BHA_308,V066,50,Summer,9/8/18
BHA_309,V066,35,Summer,9/8/18
BHA_310,V066,20,Summer,9/4/18
BHA_313,V028,20,Summer,9/4/18
BHA_314,V028,27,Summer,9/4/18
BHA_315,V072,28,Summer,9/5/18
BHA_317,V028,21,Summer,9/11/18
BHA_318,V028,30,Summer,9/12/18
BHA_319,V028,15,Summer,9/12/18
BHA_320,V072,46,Summer,9/7/18
BHA_322,V061,31,Summer,9/8/18
BHA_324,V061,25,Summer,9/11/18
BHA_327,V066,32,Summer,9/13/18
BHA_328,V072,20,Summer,9/13/18
BHA_329,V072,21,Summer,9/13/18
BHA_333,V028,30,Summer,9/19/18
BHA_335,V072,49,Summer,9/13/18
BHA_336,V028,41,Summer,9/13/18
BHA_338,V028,16,Fall,9/21/18
BHA_339,V028,34,Fall,9/24/18
BHA_340,V028,94,Summer,9/18/18
BHA_341,V028,87,Summer,9/13/18
BHA_342,V028,45,Summer,9/20/18
BHA_343,V028,45,Summer,9/20/18
BHA_344,V061,9,Summer,9/17/18
BHA_345,V061,23,Summer,9/17/18
BHA_346,V028,18,Summer,9/16/18
BHA_347,V062,14,Summer,9/20/18
BHA_349,V066,40,Fall,9/30/18
BHA_354,V066,9,Fall,9/26/18
BHA_355,V066,6,Fall,9/28/18
BHA_356,V066,22,Fall,9/27/18
BHA_359,V061,16,Summer,9/16/18
BHA_361,V072,10,Fall,10/3/18
BHA_362,V028,26,Fall,9/29/18
BHA_363,V028,20,Fall,10/4/18
BHA_364,V066,30,Fall,10/2/18
BHA_369,V028,79,Fall,10/17/18
BHA_370,V066,6,Fall,10/13/18
BHA_371,V066,6.5,Fall,10/14/18
BHA_372,V066,5,Fall,10/14/18
BHA_373,V066,18,Fall,10/9/18
BHA_374,V028,43,Fall,10/7/18
BHA_378,V062,44,Fall,10/12/18
BHA_379,V028,37,Fall,10/14/18
BHA_380,V061,17,Fall,10/16/18
BHA_383,V028,38,Fall,10/21/18
BHA_384,V028,20,Fall,10/18/18
BHA_385,V066,4,Fall,10/27/18
BHA_391,V061,31,Fall,10/22/18
BHA_393,V028,33,Fall,10/31/18
BHA_395,V074,48,Spring,4/16/19
BHA_398,V079,9,Spring,5/16/19
BHA_402,V077,19,Spring,5/18/19
BHA_408,V076,56,Spring,6/2/19
BHA_415,V072,13,Summer,7/3/19
BHA_417,V074,11,Summer,7/2/19
BHA_420,V086,17,Summer,7/6/19
BHA_427,V072,10,Summer,7/17/19
BHA_430,V072,5,Summer,7/23/19
BHA_432,V080,9,Summer,7/22/19
BHA_434,V076,30,Summer,7/25/19
BHA_435,V076,49,Summer,7/25/19
BHA_436,V076,35,Summer,7/26/19
BHA_439,V076,30,Summer,7/29/19
BHA_440,V076,49,Summer,7/29/19
BHA_442,V076,30,Summer,7/29/19
BHA_449,V072,15,Summer,8/1/19
BHA_450,V079,35,Summer,7/29/19
BHA_455,V072,17,Summer,8/2/19
BHA_456,V072,17,Summer,8/3/19
BHA_460,V076,25,Summer,8/8/19
BHA_461,V076,50,Summer,8/11/19
BHA_462,V076,30,Summer,8/11/19
BHA_463,V076,44,Summer,8/11/19
BHA_465,V076,25,Summer,8/7/19
BHA_467,V076,75,Summer,8/3/19
BHA_469,V076,60,Summer,8/2/19
BHA_470,V076,53,Summer,8/9/19
BHA_471,V076,40,Summer,8/9/19
BHA_472,V076,50,Summer,8/9/19
BHA_473,V076,10,Summer,8/1/19
BHA_474,V076,42,Summer,8/9/19
BHA_475,V076,23,Summer,8/10/19
BHA_478,V076,7,Summer,8/10/19
BHA_480,V076,12,Summer,8/2/19
BHA_481,V076,12,Summer,8/2/19
BHA_483,V076,34,Summer,8/2/19
BHA_485,V076,23,Summer,8/4/19
BHA_488,V086,21,Summer,8/9/19
BHA_489,V086,18,Summer,8/10/19
BHA_491,V086,37,Summer,8/4/19
BHA_495,V086,53,Summer,8/12/19
BHA_496,V076,10,Summer,8/3/19
BHA_497,V076,15,Summer,8/4/19
BHA_498,V086,18,Summer,8/4/19
BHA_505,V072,5,Summer,8/6/19
BHA_506,V072,17,Summer,8/6/19
BHA_507,V079,36,Summer,8/7/19
BHA_508,V077,9,Summer,8/16/19
BHA_509,V079,31,Summer,8/16/19
BHA_510,V079,20,Summer,8/6/19
BHA_511,V079,40,Summer,8/7/19
BHA_512,V072,31,Summer,8/7/19
BHA_513,V079,31,Summer,8/7/19
BHA_515,V072,13,Summer,8/9/19
BHA_516,V072,15,Summer,8/12/19
BHA_521,V076,23,Summer,8/14/19
BHA_523,V076,13,Summer,8/17/19
BHA_524,V076,7,Summer,8/17/19
BHA_526,V076,36,Summer,8/12/19
