camDeployID,Date Deployed,Date Retreived,daysDeployed,season,lodgeNumber,lodgeType,FT_ID,ftLength,picsTaken,beavCapts,Comments:
10,5/7/17,5/22/17,15,Spring,303,Pond,303_FT06,65,260,29,NA
11,5/7/17,5/22/17,15,Spring,303,Pond,303_FT04,40,50,1,NA
12,5/7/17,5/22/17,15,Spring,303,Pond,303_FT05,68,35,2,NA
14,5/8/17,5/22/17,14,Spring,1019,Lake,1019_FT63,13,110,2,NA
15,5/8/17,5/22/17,14,Spring,1019,Lake,1019_FT62,14,85,1,NA
16,5/8/17,5/22/17,14,Spring,1019,Lake,1019_FT61,11,65,0,NA
18,5/8/17,5/22/17,14,Spring,3569,Lake,3596_FT14/15,21,600,69,NA
19,5/8/17,5/22/17,14,Spring,3569,Lake,3596_FT12,20,35,2,NA
20,5/8/17,5/22/17,14,Spring,3569,Lake,3596_FT09,27,55,1,NA
29,5/7/17,5/22/17,15,Spring,2985,Pond,2985_FT15,27,98,0,NA
31,5/7/17,5/22/17,15,Spring,2985,Pond,2985_FT13,13,46,5,NA
32,5/7/17,5/22/17,15,Spring,2985,Pond,2985_FT14,21,50,2,NA
34,5/27/17,6/11/17,15,Spring,2326,Pond,2326_FT01,7,390,5,NA
35,5/27/17,6/11/17,15,Spring,2326,Pond,2326_FT03,7,120,1,NA
36,5/27/17,6/11/17,15,Spring,2326,Pond,2326_FT05,11,105,0,NA
38,5/27/17,6/11/17,15,Spring,1019,Lake,1019_FT17,31,77,0,NA
39,5/27/17,6/11/17,15,Spring,1019,Lake,1019_FT19,14,155,0,NA
40,5/27/17,6/11/17,15,Spring,1019,Lake,1019_FT21,6,82,5,NA
41,5/27/17,6/11/17,15,Spring,2303,Pond,2303_FT40,8,77,1,NA
42,5/27/17,6/11/17,15,Spring,2303,Pond,2303_FT39,18,562,33,NA
43,5/27/17,6/11/17,15,Spring,2303,Pond,2303_FT38,10,143,4,NA
46,5/27/17,6/10/17,14,Spring,3550,Lake,3550_FT12/13,57,1370,160,NA
47,5/27/17,6/10/17,14,Spring,3550,Lake,3550_FT08,8,48,4,NA
48,5/27/17,6/10/17,14,Spring,3550,Lake,3550_FT10,48,340,1,NA
62,6/21/17,7/5/17,14,Spring,2288,Pond,2288_FT30,7,563,1,NA
63,6/21/17,7/5/17,14,Spring,2288,Pond,2288_FT34/35,14,1640,8,NA
64,6/21/17,7/5/17,14,Spring,2288,Pond,2288_FT13,9,190,1,NA
66,6/21/17,7/5/17,14,Spring,3211,Lake,3211_FT07,19,51,0,NA
67,6/21/17,7/5/17,14,Spring,3211,Lake,3211_FT04,8,181,0,NA
68,6/21/17,7/5/17,14,Spring,3211,Lake,3211_FT03,9,45,0,NA
70,6/21/17,7/5/17,14,Spring,3566,Lake,3566_FT14,24,76,0,NA
71,6/21/17,7/5/17,14,Spring,3566,Lake,3566_FT01,6,291,1,NA
72,6/21/17,7/5/17,14,Spring,3566,Lake,3566_FT03,7,196,0,NA
74,6/21/17,7/5/17,14,Spring,3557,Pond,3557_FT20,12,485,44,NA
75,6/21/17,7/5/17,14,Spring,3557,Pond,3557_FT34,12,1239,108,NA
76,6/21/17,7/5/17,14,Spring,3557,Pond,3557_FT23,19,302,1,NA
82,7/15/17,7/29/17,14,Summer,3569,Lake,3569_FT22,12,212,0,NA
83,7/15/17,7/29/17,14,Summer,3569,Lake,3569_FT25,17,505,17,NA
84,7/15/17,7/29/17,14,Summer,3569,Lake,3569_FT07/08,27,2190,254,NA
86,7/15/17,7/29/17,14,Summer,2985,Pond,2985_FT02,18,100,2,NA
87,7/15/17,7/29/17,14,Summer,2985,Pond,2985_FT31,8,130,1,NA
88,7/15/17,7/29/17,14,Summer,2985,Pond,2985_FT23,13,150,9,NA
94,7/15/17,7/29/17,14,Summer,303,Pond,303_FT17,14,111,2,NA
95,7/15/17,7/29/17,14,Summer,303,Pond,303_FT06,65,81,2,NA
96,7/15/17,7/29/17,14,Summer,303,Pond,303_FT05,68,432,0,NA
98,7/15/17,7/29/17,14,Summer,1058,Lake,1058_FT08,4,80,2,NA
99,7/15/17,7/29/17,14,Summer,1058,Lake,1058_FT06,7,100,0,NA
100,7/15/17,7/29/17,14,Summer,1058,Lake,1058_FT07,4,75,1,NA
102,8/4/17,8/19/17,15,Summer,2326,Pond,2326_FT03,7,75,1,NA
103,8/4/17,8/19/17,15,Summer,2326,Pond,2326_FT01,7,265,11,NA
104,8/4/17,8/19/17,15,Summer,2326,Pond,2326_FT73,5,225,0,NA
106,8/5/17,8/19/17,14,Summer,1019,Lake,1019_FT51,16,516,16,NA
107,8/5/17,8/19/17,14,Summer,1019,Lake,1019_FT48,17,211,3,NA
108,8/5/17,8/19/17,14,Summer,1019,Lake,1019_FT43,7,210,0,NA
110,8/5/17,8/19/17,14,Summer,2303,Pond,2303_FT09,7,248,3,NA
111,8/5/17,8/19/17,14,Summer,2303,Pond,2303_FT06,12,130,0,NA
112,8/5/17,8/19/17,14,Summer,2303,Pond,2303_FT07,6,149,3,NA
118,8/5/17,8/19/17,14,Summer,3550,Lake,3550_FT06,20,210,2,NA
119,8/5/17,8/19/17,14,Summer,3550,Lake,3550_FT28,15,174,19,NA
120,8/5/17,8/19/17,14,Summer,3550,Lake,3550_FT12/13,57,405,31,NA
126,8/23/17,9/6/17,14,Summer,1066,Lake,1066_FT3,7,96,0,NA
127,8/23/17,9/6/17,14,Summer,1066,Lake,1066_FT02,12,137,4,NA
128,8/23/17,9/6/17,14,Summer,1066,Lake,1066_FT01,47,396,0,NA
130,8/23/17,9/6/17,14,Summer,1180,Lake,1180_FT02,7,37,4,NA
131,8/23/17,9/6/17,14,Summer,1180,Lake,1180_FT03/04,24,547,8,NA
132,8/23/17,9/6/17,14,Summer,1180,Lake,1180_FT06,8,20,0,NA
134,8/23/17,9/6/17,14,Summer,2288,Pond,2288_FT45,21,250,14,NA
135,8/23/17,9/6/17,14,Summer,2288,Pond,288_FT43,13,1691,167,NA
136,8/23/17,9/6/17,14,Summer,2288,Pond,2288_FT46,22,291,7,NA
138,8/23/17,9/7/17,15,Summer,3557,Pond,3557_FT34,12,216,9,NA
139,8/23/17,9/7/17,15,Summer,3557,Pond,3557_FT33,18,266,7,NA
140,8/23/17,9/7/17,15,Summer,3557,Pond,3557_FT26,9,437,44,NA
