killID,season,wolfID,killDate,feedTrailLength
BeaverKill07,Spring,V027,4/27/15,32
BeaverKill14,Fall,V009,10/13/15,23
BeaverKill19,Fall,V026,10/20/15,9
BeaverKill21,Fall,V009,10/28/15,21
BeaverKill20,Fall,V045,10/29/15,33
BeaverKill22,Fall,V033,11/5/15,35
BeaverKill35,Summer,V028,7/20/16,22
BeaverKill36,Summer,V028,7/27/16,13
BeaverKill38,Summer,V034,8/26/16,28
BeaverKill40,Summer,V028,9/7/16,48
BeaverKill45,Fall,V028,10/4/16,28
BeaverKill46,Fall,V028,10/11/16,45
BeaverKill48,Fall,V028,11/11/16,42
BeaverKill57,Spring,V049,6/5/17,11
BeaverKill58,Summer,V046,7/29/17,45
BeaverKill61,Summer,V041/V049,8/14/17,50
BeaverKill62,Summer,V049,8/18/17,37
BeaverKill91,Summer,V028,7/6/18,29
BeaverKill98,Summer,V028,8/18/18,72
BeaverKill99,Summer,V028,8/22/18,39
BeaverKill100,Summer,V062,8/26/18,18
BeaverKill103,Summer,V028,8/29/18,41
BeaverKill101,Summer,V066,9/3/18,38
BeaverKill109,Summer,V028,9/14/18,28
BeaverKill108,Summer,V062,9/18/18,25
BeaverKill112,Fall,V028,10/1/18,31
BeaverKill113,Fall,V028,10/2/18,18
BeaverKill124,Fall,V028,10/7/18,33
BeaverKill116,Fall,V062,10/11/18,19
BeaverKill121,Fall,V028,10/12/18,44
BeaverKill123,Fall,V028,10/14/18,5
BeaverKill120,Fall,V028,10/17/18,29
BeaverKill154,Spring,V074,5/21/19,39
BeaverKill160,Spring,V076,6/2/19,44
BeaverKill173,Summer,V072,6/30/19,7
BeaverKill180,Summer,V072,7/8/19,16
BeaverKill190,Summer,V076,7/24/19,12
BeaverKill188,Summer,V076,7/27/19,36
BeaverKill189,Summer,V074,7/29/19,39
BeaverKill207,Summer,V079,8/17/19,52
BeaverKill204,Summer,V076,8/18/19,35
BeaverKill206,Summer,V086,8/21/19,30
BeaverKill211,Summer,V076,8/28/19,21
BeaverKill226,Fall,V079,9/27/19,35
BeaverKill240,Fall,V086,10/12/19,33
BeaverKill243,Fall,V072/V079,10/14/19,21
BeaverKill245,Fall,V086,10/20/19,33
BeaverKill259,Spring,V083,5/5/20,40
BeaverKill269,Spring,V083,5/14/20,58
BeaverKill274,Spring,V084,5/21/20,55
BeaverKill277,Spring,V095,5/27/20,21
BeaverKill318,Summer,V077,7/17/20,10
BeaverKill326,Summer,V084,7/24/20,30
BeaverKill322,Summer,V083,7/26/20,11
BeaverKill335,Summer,V083,8/6/20,55
BeaverKill344,Summer,V083,8/21/20,19
BeaverKill351,Summer,V083,8/24/20,11
BeaverKill354,Summer,V071,8/24/20,25
BeaverKill365,Summer,V083,8/29/20,21
BeaverKill362,Summer,V071,8/31/20,25
BeaverKill367,Summer,V071,9/5/20,29
BeaverKill375,Summer,V084,9/7/20,61
BeaverKill369,Summer,V095,9/12/20,19
BeaverKill373,Summer,V083,9/15/20,92
BeaverKill376,Summer,V084,9/15/20,65
BeaverKill387,Summer,V083/V084,9/17/20,36
BeaverKill380,Fall,V085,9/22/20,15
BeaverKill389,Fall,V084,9/22/20,54
BeaverKill388,Fall,V071,9/27/20,27
BeaverKill391,Fall,V083,10/6/20,35
BeaverKill392,Fall,V083,10/8/20,52
BeaverKill411,Fall,V084,10/11/20,37
BeaverKill393,Fall,V083/V084,10/15/20,20
BeaverKill394,Fall,V071,10/15/20,12
BeaverKill398,Fall,V094,10/15/20,28
BeaverKill408,Fall,V083,10/16/20,21
BeaverKill396,Fall,V095/V076,10/19/20,40
BeaverKill406,Fall,V084,10/21/20,19
BeaverKill409,Fall,V083/V084,10/21/20,27
BeaverKill400,Fall,V071,10/22/20,33
BeaverKill401,Fall,V077/V085,10/23/20,30
BeaverKill402,Fall,V094,10/25/20,46
BeaverKill407,Fall,V083/V084,10/28/20,37
BeaverKill429,Spring,V071,4/27/21,29
BeaverKill468,Summer,V079,7/9/21,8
BeaverKill476,Summer,P0C,7/12/21,22
BeaverKill470,Summer,O0C,7/14/21,10
BeaverKill485,Summer,V079,7/22/21,16
BeaverKill486,Summer,V071,7/29/21,29
BeaverKill505,Summer,P0C,8/1/21,25
BeaverKill496,Summer,P0C,8/5/21,56
BeaverKill500,Summer,V071,8/8/21,15
BeaverKill507,Summer,V079,8/16/21,24
BeaverKill522,Summer,V079,9/5/21,27
BeaverKill523,Summer,V071,9/10/21,13
BeaverKill529,Summer,O0C,9/13/21,40
BeaverKill530,Summer,P0C,9/13/21,26
BeaverKill532,Summer,V071,9/16/21,10
BeaverKill533,Summer,V079,9/16/21,80
