FT_ID,lodgeNumber,lodgeType,year,trailLength,season
3569_FT02,3569,Lake,2017,16,springStatus
3569_FT07,3569,Lake,2017,24,springStatus
3569_FT08,3569,Lake,2017,27,springStatus
3569_FT09,3569,Lake,2017,26,springStatus
3569_FT12,3569,Lake,2017,19,springStatus
3569_FT13,3569,Lake,2017,13,springStatus
3569_FT14,3569,Lake,2017,17,springStatus
3569_FT15,3569,Lake,2017,23,springStatus
3569_FT16,3569,Lake,2017,31,springStatus
3569_FT17,3569,Lake,2017,20,springStatus
2985_FT05,2985,Pond,2017,27,springStatus
2985_FT08,2985,Pond,2017,6,springStatus
2985_FT09,2985,Pond,2017,9,springStatus
2985_FT10,2985,Pond,2017,7,springStatus
2985_FT11,2985,Pond,2017,4,springStatus
2985_FT14,2985,Pond,2017,20,springStatus
303_FT01,303,Pond,2017,8,springStatus
303_FT05,303,Pond,2017,67,springStatus
303_FT06,303,Pond,2017,64,springStatus
2326_FT01,2326,Pond,2017,6,springStatus
2326_FT02,2326,Pond,2017,7,springStatus
2326_FT03,2326,Pond,2017,6,springStatus
2326_FT05,2326,Pond,2017,10,springStatus
2326_FT06,2326,Pond,2017,8,springStatus
2326_FT07,2326,Pond,2017,6,springStatus
2326_FT08,2326,Pond,2017,6,springStatus
2326_FT09,2326,Pond,2017,8,springStatus
2326_FT10,2326,Pond,2017,5,springStatus
2326_FT11,2326,Pond,2017,6,springStatus
2326_FT12,2326,Pond,2017,6,springStatus
2326_FT13,2326,Pond,2017,3,springStatus
2326_FT14,2326,Pond,2017,8,springStatus
2326_FT15,2326,Pond,2017,5,springStatus
2326_FT16,2326,Pond,2017,6,springStatus
2326_FT17,2326,Pond,2017,7,springStatus
2326_FT18,2326,Pond,2017,8,springStatus
2326_FT19,2326,Pond,2017,5,springStatus
2326_FT20,2326,Pond,2017,5,springStatus
2326_FT21,2326,Pond,2017,5,springStatus
2326_FT22,2326,Pond,2017,4,springStatus
2326_FT23,2326,Pond,2017,4,springStatus
2326_FT24,2326,Pond,2017,7,springStatus
2326_FT25,2326,Pond,2017,10,springStatus
2326_FT31,2326,Pond,2017,9,springStatus
2326_FT32,2326,Pond,2017,5,springStatus
2326_FT33,2326,Pond,2017,4,springStatus
2326_FT34,2326,Pond,2017,6,springStatus
2326_FT35,2326,Pond,2017,9,springStatus
2326_FT36,2326,Pond,2017,8,springStatus
2326_FT37,2326,Pond,2017,6,springStatus
2326_FT38,2326,Pond,2017,6,springStatus
2326_FT39,2326,Pond,2017,7,springStatus
2326_FT40,2326,Pond,2017,16,springStatus
2326_FT41,2326,Pond,2017,6,springStatus
2326_FT51,2326,Pond,2017,4,springStatus
2326_FT52,2326,Pond,2017,6,springStatus
2326_FT53,2326,Pond,2017,10,springStatus
2326_FT54,2326,Pond,2017,6,springStatus
2326_FT55,2326,Pond,2017,5,springStatus
2326_FT56,2326,Pond,2017,4,springStatus
2326_FT57,2326,Pond,2017,14,springStatus
2326_FT58,2326,Pond,2017,12,springStatus
2326_FT59,2326,Pond,2017,4,springStatus
2326_FT60,2326,Pond,2017,4,springStatus
2326_FT61,2326,Pond,2017,4,springStatus
2326_FT62,2326,Pond,2017,5,springStatus
2326_FT63,2326,Pond,2017,5,springStatus
2326_FT69,2326,Pond,2017,5,springStatus
2326_FT70,2326,Pond,2017,6,springStatus
2326_FT73,2326,Pond,2017,4,springStatus
2326_FT76,2326,Pond,2017,3,springStatus
2326_FT77,2326,Pond,2017,2,springStatus
2326_FT81,2326,Pond,2017,7,springStatus
2326_FT82,2326,Pond,2017,5,springStatus
2326_FT86,2326,Pond,2017,12,springStatus
2326_FT89,2326,Pond,2017,4,springStatus
2326_FT91,2326,Pond,2017,10,springStatus
2326_FT93,2326,Pond,2017,2,springStatus
2326_FT94,2326,Pond,2017,7,springStatus
2326_FT95,2326,Pond,2017,8,springStatus
2326_FT96,2326,Pond,2017,11,springStatus
2326_FT97,2326,Pond,2017,4,springStatus
2326_FT99,2326,Pond,2017,9,springStatus
2326_FT100,2326,Pond,2017,17,springStatus
2326_FT121,2326,Pond,2017,20,springStatus
2326_FT101,2326,Pond,2017,14,springStatus
2326_FT102,2326,Pond,2017,24,springStatus
2326_FT103,2326,Pond,2017,4,springStatus
2326_FT104,2326,Pond,2017,5,springStatus
2326_FT105,2326,Pond,2017,4,springStatus
2326_FT108,2326,Pond,2017,5,springStatus
2326_FT109,2326,Pond,2017,10,springStatus
2326_FT110,2326,Pond,2017,6,springStatus
2326_FT111,2326,Pond,2017,4,springStatus
2326_FT113,2326,Pond,2017,6,springStatus
2326_FT114,2326,Pond,2017,10,springStatus
2326_FT116,2326,Pond,2017,10,springStatus
2326_FT117,2326,Pond,2017,6,springStatus
2326_FT118,2326,Pond,2017,8,springStatus
2326_FT119,2326,Pond,2017,9,springStatus
2326_FT120,2326,Pond,2017,7,springStatus
2326_FT122,2326,Pond,2017,7,springStatus
2326_FT123,2326,Pond,2017,6,springStatus
2326_FT124,2326,Pond,2017,4,springStatus
2326_FT125,2326,Pond,2017,11,springStatus
2326_FT126,2326,Pond,2017,5,springStatus
2326_FT127,2326,Pond,2017,15,springStatus
2326_FT128,2326,Pond,2017,11,springStatus
2326_FT129,2326,Pond,2017,5,springStatus
2326_FT130,2326,Pond,2017,4,springStatus
2326_FT131,2326,Pond,2017,5,springStatus
2326_FT132,2326,Pond,2017,8,springStatus
2326_FT133,2326,Pond,2017,4,springStatus
2326_FT138,2326,Pond,2017,12,springStatus
2326_FT139,2326,Pond,2017,13,springStatus
2326_FT140,2326,Pond,2017,5,springStatus
2326_FT141,2326,Pond,2017,4,springStatus
2326_FT142,2326,Pond,2017,5,springStatus
2326_FT143,2326,Pond,2017,9,springStatus
2326_FT144,2326,Pond,2017,10,springStatus
2326_FT145,2326,Pond,2017,5,springStatus
2326_FT146,2326,Pond,2017,4,springStatus
2326_FT147,2326,Pond,2017,9,springStatus
2326_FT148,2326,Pond,2017,8,springStatus
2326_FT149,2326,Pond,2017,6,springStatus
2326_FT150,2326,Pond,2017,8,springStatus
2326_FT151,2326,Pond,2017,11,springStatus
2326_FT152,2326,Pond,2017,14,springStatus
2326_FT153,2326,Pond,2017,19,springStatus
2326_FT155,2326,Pond,2017,28,springStatus
2326_FT156,2326,Pond,2017,27,springStatus
2326_FT157,2326,Pond,2017,27,springStatus
2326_FT158,2326,Pond,2017,3,springStatus
2326_FT159,2326,Pond,2017,28,springStatus
2326_FT160,2326,Pond,2017,27,springStatus
2326_FT161,2326,Pond,2017,12,springStatus
2326_FT162,2326,Pond,2017,11,springStatus
2326_FT164,2326,Pond,2017,20,springStatus
2326_FT165,2326,Pond,2017,13,springStatus
2326_FT166,2326,Pond,2017,9,springStatus
2326_FT167,2326,Pond,2017,19,springStatus
2303_FT01,2303,Pond,2017,10,springStatus
2303_FT02,2303,Pond,2017,6,springStatus
2303_FT03,2303,Pond,2017,9,springStatus
2303_FT04,2303,Pond,2017,8,springStatus
2303_FT05,2303,Pond,2017,7,springStatus
2303_FT06,2303,Pond,2017,12,springStatus
2303_FT07,2303,Pond,2017,5,springStatus
2303_FT08,2303,Pond,2017,6,springStatus
2303_FT09,2303,Pond,2017,6,springStatus
2303_FT10,2303,Pond,2017,6,springStatus
2303_FT11,2303,Pond,2017,5,springStatus
2303_FT25,2303,Pond,2017,7,springStatus
2303_FT26,2303,Pond,2017,5,springStatus
2303_FT27,2303,Pond,2017,3,springStatus
2303_FT28,2303,Pond,2017,5,springStatus
2303_FT29,2303,Pond,2017,7,springStatus
2303_FT30,2303,Pond,2017,9,springStatus
2303_FT31,2303,Pond,2017,5,springStatus
2303_FT32,2303,Pond,2017,5,springStatus
2303_FT33,2303,Pond,2017,7,springStatus
2303_FT34,2303,Pond,2017,6,springStatus
2303_FT35,2303,Pond,2017,3,springStatus
2303_FT36,2303,Pond,2017,2,springStatus
2303_FT39,2303,Pond,2017,17,springStatus
2303_FT43,2303,Pond,2017,6,springStatus
2303_FT44,2303,Pond,2017,5,springStatus
1019_FT02,1019,Lake,2017,5,springStatus
1019_FT03,1019,Lake,2017,3,springStatus
1019_FT04,1019,Lake,2017,5,springStatus
1019_FT07,1019,Lake,2017,5,springStatus
1019_FT08,1019,Lake,2017,7,springStatus
1019_FT09,1019,Lake,2017,3,springStatus
1019_FT10,1019,Lake,2017,3,springStatus
1019_FT11,1019,Lake,2017,3,springStatus
1019_FT12,1019,Lake,2017,4,springStatus
1019_FT18,1019,Lake,2017,11,springStatus
1019_FT19,1019,Lake,2017,13,springStatus
1019_FT20,1019,Lake,2017,10,springStatus
1019_FT22,1019,Lake,2017,8,springStatus
1019_FT98,1019,Lake,2017,14,springStatus
1019_FT28,1019,Lake,2017,5,springStatus
