Breed,Farm,Group,Eggs_Before,Eggs_After,Egg_Prod_Dif
Araucana,1,Control,0,0,0
Araucana,1,Control,0,0,0
Araucana,1,Experimental,0,3,3
Australorp,1,Experimental,2,3,1
Isa_Brown,1,Control,1,1,0
Isa_Brown,1,Experimental,1,4,3
Isa_Brown,1,Experimental,0,3,3
Minorca,1,Control,0,0,0
NH_Red,1,Control,2,2,0
NH_Red,1,Experimental,2,4,2
NH_Red,1,Experimental,2,5,3
RI_Red,1,Control,1,1,0
Orpington,1,Experimental,0,2,2
Silkie,1,Control,0,0,0
Silkie,1,Control,0,0,0
Silkie,1,Control,2,2,0
Silkie,1,Experimental,0,2,2
Wyandotte,1,Control,0,0,0
Sussex,1,Experimental,1,3,2
Sussex,1,Experimental,0,1,1
Isa_Brown,2,Control,3,3,0
Isa_Brown,2,Control,2,2,0
Isa_Brown,2,Control,0,0,0
Araucana,2,Experimental,2,2,0
Australorp,2,Experimental,3,4,1
Australorp,2,Experimental,2,4,2
Minorca,2,Experimental,1,3,2
NH_Red,2,Control,2,2,0
NH_Red,2,Control,2,2,0
NH_Red,2,Experimental,0,2,2
RI_Red,2,Control,3,3,0
RI_Red,2,Experimental,0,3,3
Orpington,2,Control,0,0,0
Orpington,2,Experimental,0,1,1
Orpington,2,Experimental,0,1,1
Sussex,2,Control,0,0,0
Wyandotte,2,Control,0,0,0
Wyandotte,2,Control,0,0,0
Wyandotte,2,Experimental,0,2,2
Wyandotte,2,Experimental,1,3,2
