Plant,RH_per,Temp,Leaf,Stomatal_conductance
Rubber,18,23,1,112.00
Rubber,18,23,1,114.00
Rubber,18,23,1,105.00
Rubber,18,23,1,110.00
Rubber,18,23,1,131.00
Rubber,18,23,1,112.00
Rubber,18,23,1,116.00
Rubber,18,23,1,112.00
Rubber,18,23,1,121.00
Rubber,18,23,2,110.00
Rubber,18,23,2,99.00
Rubber,18,23,2,98.00
Rubber,18,23,2,112.00
Rubber,18,23,2,122.00
Rubber,18,23,2,119.00
Rubber,18,23,2,120.00
Rubber,18,23,2,119.00
Rubber,18,23,3,105.00
Rubber,18,23,3,111.00
Rubber,18,23,3,112.00
Rubber,18,23,3,105.00
Rubber,18,23,3,120.00
Rubber,18,23,3,118.00
Rubber,18,23,3,124.00
Rubber,18,23,3,123.00
Rubber,18,23,3,124.00
Rubber,58,27,1,108.00
Rubber,58,27,1,116.00
Rubber,58,27,1,119.00
Rubber,58,27,1,122.00
Rubber,58,27,1,95.00
Rubber,58,27,1,95.00
Rubber,58,27,1,125.00
Rubber,58,27,1,95.00
Rubber,58,27,2,143.00
Rubber,58,27,2,177.00
Rubber,58,27,2,187.00
Rubber,58,27,2,109.00
Rubber,58,27,2,109.00
Rubber,58,27,2,108.00
Rubber,58,27,2,108.00
Rubber,58,27,2,108.00
Rubber,58,27,2,108.00
Rubber,58,27,3,120.00
Rubber,58,27,3,106.00
Rubber,58,27,3,112.00
Rubber,58,27,3,113.00
Rubber,58,27,3,115.00
Rubber,58,27,3,102.00
Rubber,58,27,3,112.00
Rubber,58,27,3,106.00
Rubber,58,27,3,102.00
Rubber,58,27,3,95.00
Rubber,63,26,1,108.00
Rubber,63,26,1,106.00
Rubber,63,26,1,106.00
Rubber,63,26,1,108.00
Rubber,63,26,1,212.00
Rubber,63,26,1,108.00
Rubber,63,26,1,108.00
Rubber,63,26,1,108.00
Rubber,63,26,1,108.00
Rubber,63,26,2,116.00
Rubber,63,26,2,115.00
Rubber,63,26,2,115.00
Rubber,63,26,2,116.00
Rubber,63,26,2,115.00
Rubber,63,26,2,115.00
Rubber,63,26,2,115.00
Rubber,63,26,3,112.00
Rubber,63,26,3,114.00
Rubber,63,26,3,114.00
Rubber,63,26,3,115.00
Rubber,63,26,3,114.00
Rubber,63,26,3,113.00
Rubber,63,26,3,208.00
Rubber,63,26,3,191.00
Rubber,63,26,3,114.00
Rubber,63,26,3,113.00
Rubber,63,26,3,118.00
Rubber,63,26,3,117.00
Rubber,71,25,1,117.00
Rubber,71,25,1,117.00
Rubber,71,25,1,116.00
Rubber,71,25,1,116.00
Rubber,71,25,1,119.00
Rubber,71,25,1,119.00
Rubber,71,25,1,119.00
Rubber,71,25,1,118.00
Rubber,71,25,1,118.00
Rubber,71,25,1,118.00
Rubber,71,25,2,154.00
Rubber,71,25,2,155.00
Rubber,71,25,2,154.00
Rubber,71,25,2,152.00
Rubber,71,25,2,154.00
Rubber,71,25,2,153.00
Rubber,71,25,2,154.00
Rubber,71,25,3,140.00
Rubber,71,25,3,139.00
Rubber,71,25,3,138.00
Rubber,71,25,3,138.00
Rubber,71,25,3,138.00
Rubber,71,25,3,135.00
Rubber,71,25,3,135.00
Rubber,71,25,3,135.00
Rubber,73,25,1,117.00
Rubber,73,25,1,118.00
Rubber,73,25,1,116.00
Rubber,73,25,1,115.00
Rubber,73,25,1,109.00
Rubber,73,25,1,106.00
Rubber,73,25,1,117.00
Rubber,73,25,1,119.00
Rubber,73,25,2,130.00
Rubber,73,25,2,112.00
Rubber,73,25,2,109.00
Rubber,73,25,2,145.00
Rubber,73,25,2,108.00
Rubber,73,25,2,108.00
Rubber,73,25,2,110.00
Rubber,73,25,2,151.00
Rubber,73,25,3,142.00
Rubber,73,25,3,142.00
Rubber,73,25,3,106.00
Rubber,73,25,3,106.00
Rubber,73,25,3,145.00
Rubber,73,25,3,103.00
Rubber,73,25,3,105.00
Rubber,73,25,3,107.00
Rubber,74,25,1,133.00
Rubber,74,25,1,139.00
Rubber,74,25,1,143.00
Rubber,74,25,1,145.00
Rubber,74,25,1,146.00
Rubber,74,25,1,146.00
Rubber,74,25,1,146.00
Rubber,74,25,1,150.00
Rubber,74,25,1,150.00
Rubber,74,25,1,150.00
Rubber,74,25,2,155.00
Rubber,74,25,2,159.00
Rubber,74,25,2,166.00
Rubber,74,25,2,169.00
Rubber,74,25,2,169.00
Rubber,74,25,2,170.00
Rubber,74,25,2,174.00
Rubber,74,25,2,171.00
Rubber,74,25,2,173.00
Rubber,74,25,3,151.00
Rubber,74,25,3,163.00
Rubber,74,25,3,169.00
Rubber,74,25,3,172.00
Rubber,74,25,3,175.00
Rubber,74,25,3,179.00
Rubber,74,25,3,178.00
Rubber,74,25,3,144.00
Rubber,74,25,3,142.00
Rubber,74,25,3,180.00
Rubber,74,25,3,179.00
Rubber,74,25,3,181.00
Rubber,76,25,1,133.00
Rubber,76,25,1,157.00
Rubber,76,25,1,164.00
Rubber,76,25,1,169.00
Rubber,76,25,1,103.00
Rubber,76,25,1,173.00
Rubber,76,25,1,103.00
Rubber,76,25,1,179.00
Rubber,76,25,1,171.00
Rubber,76,25,1,104.00
Rubber,76,25,1,104.00
Rubber,76,25,1,180.00
Rubber,76,25,2,132.00
