beavCaptID,camDeployID,lodgeNumber,lodgeType,Season,inOutWater,timeOnLand
9,10,303,Pond,Spring,Yes,9
14,10,303,Pond,Spring,Yes,4
16,10,303,Pond,Spring,Yes,3
19,10,303,Pond,Spring,Yes,3
20,10,303,Pond,Spring,Yes,4
21,10,303,Pond,Spring,Yes,4
23,10,303,Pond,Spring,Yes,6
24,10,303,Pond,Spring,Yes,18
25,10,303,Pond,Spring,Yes,9
26,10,303,Pond,Spring,Yes,10
27,10,303,Pond,Spring,Yes,15
28,10,303,Pond,Spring,Yes,11
29,10,303,Pond,Spring,Yes,12
31,10,303,Pond,Spring,Yes,22
33,10,303,Pond,Spring,Yes,2
36,12,303,Pond,Spring,Yes,8
57,29,2985,Pond,Spring,Yes,3
58,29,2985,Pond,Spring,Yes,11
61,32,2985,Pond,Spring,Yes,7
128,18,3569,Lake,Spring,Yes,23
129,18,3569,Lake,Spring,Yes,19
130,18,3569,Lake,Spring,Yes,12
131,18,3569,Lake,Spring,Yes,3
132,18,3569,Lake,Spring,Yes,5
133,18,3569,Lake,Spring,Yes,14
135,18,3569,Lake,Spring,Yes,1
136,18,3569,Lake,Spring,Yes,15
137,18,3569,Lake,Spring,Yes,9
138,18,3569,Lake,Spring,Yes,19
139,18,3569,Lake,Spring,Yes,19
140,18,3569,Lake,Spring,Yes,4
141,18,3569,Lake,Spring,Yes,20
142,18,3569,Lake,Spring,Yes,12
143,18,3569,Lake,Spring,Yes,9
144,18,3569,Lake,Spring,Yes,3
145,18,3569,Lake,Spring,Yes,12
146,18,3569,Lake,Spring,Yes,17
147,18,3569,Lake,Spring,Yes,16
148,18,3569,Lake,Spring,Yes,12
149,18,3569,Lake,Spring,Yes,18
150,18,3569,Lake,Spring,Yes,20
151,18,3569,Lake,Spring,Yes,24
152,18,3569,Lake,Spring,Yes,4
153,18,3569,Lake,Spring,Yes,8
155,18,3569,Lake,Spring,Yes,13
156,18,3569,Lake,Spring,Yes,10
160,18,3569,Lake,Spring,Yes,16
162,18,3569,Lake,Spring,Yes,22
163,18,3569,Lake,Spring,Yes,12
164,18,3569,Lake,Spring,Yes,4
165,18,3569,Lake,Spring,Yes,6
166,18,3569,Lake,Spring,Yes,5
168,18,3569,Lake,Spring,Yes,3
169,18,3569,Lake,Spring,Yes,3
170,18,3569,Lake,Spring,Yes,5
171,18,3569,Lake,Spring,Yes,7
172,18,3569,Lake,Spring,Yes,3
173,18,3569,Lake,Spring,Yes,3
176,18,3569,Lake,Spring,Yes,1
177,18,3569,Lake,Spring,Yes,4
178,18,3569,Lake,Spring,Yes,5
183,18,3569,Lake,Spring,Yes,7
184,18,3569,Lake,Spring,Yes,6
187,18,3569,Lake,Spring,Yes,2
188,18,3569,Lake,Spring,Yes,6
190,18,3569,Lake,Spring,Yes,28
191,18,3569,Lake,Spring,Yes,19
192,18,3569,Lake,Spring,Yes,2
195,20,3569,Lake,Spring,Yes,2
196,40,1019,Lake,Spring,Yes,6
198,40,1019,Lake,Spring,Yes,2
293,42,2303,Pond,Spring,Yes,1
294,42,2303,Pond,Spring,Yes,1
295,42,2303,Pond,Spring,Yes,1
297,42,2303,Pond,Spring,Yes,2
298,42,2303,Pond,Spring,Yes,6
301,42,2303,Pond,Spring,Yes,3
302,42,2303,Pond,Spring,Yes,14
304,42,2303,Pond,Spring,Yes,3
306,42,2303,Pond,Spring,Yes,24
309,42,2303,Pond,Spring,Yes,6
313,42,2303,Pond,Spring,Yes,2
314,42,2303,Pond,Spring,Yes,8
315,42,2303,Pond,Spring,Yes,8
316,42,2303,Pond,Spring,Yes,12
317,42,2303,Pond,Spring,Yes,10
319,42,2303,Pond,Spring,Yes,4
322,42,2303,Pond,Spring,Yes,6
324,42,2303,Pond,Spring,Yes,3
326,43,2303,Pond,Spring,Yes,2
491,34,2326,Pond,Spring,Yes,1
498,46,3550,Lake,Spring,Yes,15
499,46,3550,Lake,Spring,Yes,10
500,46,3550,Lake,Spring,Yes,8
501,46,3550,Lake,Spring,Yes,14
502,46,3550,Lake,Spring,Yes,22
503,46,3550,Lake,Spring,Yes,3
504,46,3550,Lake,Spring,Yes,5
507,46,3550,Lake,Spring,Yes,12
510,46,3550,Lake,Spring,Yes,11
511,46,3550,Lake,Spring,Yes,29
512,46,3550,Lake,Spring,Yes,8
513,46,3550,Lake,Spring,Yes,10
514,46,3550,Lake,Spring,Yes,8
515,46,3550,Lake,Spring,Yes,9
517,46,3550,Lake,Spring,Yes,5
518,46,3550,Lake,Spring,Yes,3
519,46,3550,Lake,Spring,Yes,21
520,46,3550,Lake,Spring,Yes,9
521,46,3550,Lake,Spring,Yes,12
522,46,3550,Lake,Spring,Yes,8
524,46,3550,Lake,Spring,Yes,4
525,46,3550,Lake,Spring,Yes,2
526,46,3550,Lake,Spring,Yes,5
527,46,3550,Lake,Spring,Yes,3
528,46,3550,Lake,Spring,Yes,1
531,46,3550,Lake,Spring,Yes,2
532,46,3550,Lake,Spring,Yes,2
533,46,3550,Lake,Spring,Yes,7
534,46,3550,Lake,Spring,Yes,3
536,46,3550,Lake,Spring,Yes,4
537,46,3550,Lake,Spring,Yes,1
538,46,3550,Lake,Spring,Yes,2
539,46,3550,Lake,Spring,Yes,7
540,46,3550,Lake,Spring,Yes,8
541,46,3550,Lake,Spring,Yes,4
542,46,3550,Lake,Spring,Yes,10
543,46,3550,Lake,Spring,Yes,13
545,46,3550,Lake,Spring,Yes,11
547,46,3550,Lake,Spring,Yes,11
549,46,3550,Lake,Spring,Yes,23
550,46,3550,Lake,Spring,Yes,22
551,46,3550,Lake,Spring,Yes,6
553,46,3550,Lake,Spring,Yes,10
554,46,3550,Lake,Spring,Yes,2
555,46,3550,Lake,Spring,Yes,4
556,46,3550,Lake,Spring,Yes,10
557,46,3550,Lake,Spring,Yes,6
558,46,3550,Lake,Spring,Yes,20
560,46,3550,Lake,Spring,Yes,5
564,46,3550,Lake,Spring,Yes,3
568,46,3550,Lake,Spring,Yes,2
569,46,3550,Lake,Spring,Yes,3
570,46,3550,Lake,Spring,Yes,2
571,46,3550,Lake,Spring,Yes,3
572,46,3550,Lake,Spring,Yes,16
573,46,3550,Lake,Spring,Yes,14
574,46,3550,Lake,Spring,Yes,2
576,46,3550,Lake,Spring,Yes,2
577,46,3550,Lake,Spring,Yes,8
578,46,3550,Lake,Spring,Yes,12
580,46,3550,Lake,Spring,Yes,4
581,46,3550,Lake,Spring,Yes,3
582,46,3550,Lake,Spring,Yes,10
583,46,3550,Lake,Spring,Yes,12
584,46,3550,Lake,Spring,Yes,1
585,46,3550,Lake,Spring,Yes,1
586,46,3550,Lake,Spring,Yes,1
589,46,3550,Lake,Spring,Yes,3
590,46,3550,Lake,Spring,Yes,3
591,46,3550,Lake,Spring,Yes,4
592,46,3550,Lake,Spring,Yes,5
595,46,3550,Lake,Spring,Yes,2
597,46,3550,Lake,Spring,Yes,5
599,46,3550,Lake,Spring,Yes,21
601,46,3550,Lake,Spring,Yes,2
604,46,3550,Lake,Spring,Yes,5
605,46,3550,Lake,Spring,Yes,17
606,46,3550,Lake,Spring,Yes,18
608,46,3550,Lake,Spring,Yes,3
609,46,3550,Lake,Spring,Yes,3
610,46,3550,Lake,Spring,Yes,2
611,46,3550,Lake,Spring,Yes,3
614,46,3550,Lake,Spring,Yes,1
617,46,3550,Lake,Spring,Yes,7
618,46,3550,Lake,Spring,Yes,3
619,46,3550,Lake,Spring,Yes,3
622,46,3550,Lake,Spring,Yes,6
623,46,3550,Lake,Spring,Yes,6
624,46,3550,Lake,Spring,Yes,4
625,46,3550,Lake,Spring,Yes,3
628,46,3550,Lake,Spring,Yes,3
633,46,3550,Lake,Spring,Yes,2
634,46,3550,Lake,Spring,Yes,3
637,46,3550,Lake,Spring,Yes,8
638,46,3550,Lake,Spring,Yes,20
640,46,3550,Lake,Spring,Yes,17
641,46,3550,Lake,Spring,Yes,23
644,46,3550,Lake,Spring,Yes,14
646,46,3550,Lake,Spring,Yes,15
648,46,3550,Lake,Spring,Yes,9
650,46,3550,Lake,Spring,Yes,2
651,46,3550,Lake,Spring,Yes,1
652,46,3550,Lake,Spring,Yes,25
653,46,3550,Lake,Spring,Yes,9
655,47,3550,Lake,Spring,Yes,2
656,47,3550,Lake,Spring,Yes,2
742,64,2288,Pond,Spring,Yes,2
779,74,3557,Pond,Spring,Yes,2
780,74,3557,Pond,Spring,Yes,2
781,74,3557,Pond,Spring,Yes,2
783,74,3557,Pond,Spring,Yes,2
784,74,3557,Pond,Spring,Yes,6
785,74,3557,Pond,Spring,Yes,2
789,74,3557,Pond,Spring,Yes,2
790,74,3557,Pond,Spring,Yes,13
791,74,3557,Pond,Spring,Yes,2
794,74,3557,Pond,Spring,Yes,4
796,74,3557,Pond,Spring,Yes,1
797,74,3557,Pond,Spring,Yes,1
800,74,3557,Pond,Spring,Yes,8
801,74,3557,Pond,Spring,Yes,10
802,74,3557,Pond,Spring,Yes,1
803,74,3557,Pond,Spring,Yes,2
804,74,3557,Pond,Spring,Yes,3
808,74,3557,Pond,Spring,Yes,2
809,74,3557,Pond,Spring,Yes,5
811,74,3557,Pond,Spring,Yes,13
812,74,3557,Pond,Spring,Yes,4
817,74,3557,Pond,Spring,Yes,9
819,74,3557,Pond,Spring,Yes,1
821,75,3557,Pond,Spring,Yes,2
822,75,3557,Pond,Spring,Yes,1
826,75,3557,Pond,Spring,Yes,4
827,75,3557,Pond,Spring,Yes,4
830,75,3557,Pond,Spring,Yes,2
832,75,3557,Pond,Spring,Yes,1
841,75,3557,Pond,Spring,Yes,2
842,75,3557,Pond,Spring,Yes,9
845,75,3557,Pond,Spring,Yes,1
851,75,3557,Pond,Spring,Yes,1
