buffer_distance,total_area,colony_level_impact
1,1.186579,165.3768641
2,1.314297,183.1772822
3,2.759879,384.6521254
4,4.336478,604.3871777
5,6.041834,842.0674564
6,7.87238,1097.195819
7,9.822399,1368.97547
8,11.885708,1656.544669
9,14.054297,1958.787038
10,16.319142,2274.444878
11,18.671212,2602.259512
12,21.10085,2940.885017
13,23.599428,3289.118885
14,26.157951,3645.707456
15,28.767452,4009.400976
16,31.42116,4379.255749
17,34.113556,4754.502578
18,36.839271,5134.393171
19,39.59341,5518.245296
20,42.371425,5905.425087
21,45.168755,6295.296864
22,47.982813,6687.50007
23,50.811797,7081.783554
24,53.65425,7477.944251
25,56.507891,7875.664251
26,59.370812,8274.677631
27,62.241686,8674.799443
28,65.121526,9076.170871
29,68.007379,9478.380348
30,70.896059,9880.983833
31,73.91839,10302.21463
