FT_ID,lodgeNumber,lodgeType,year,seasonIdent,trailLength
3569_FT02,3569,Lake,2017,Spring,16
3569_FT06,3569,Lake,2017,Summer,22
3569_FT07,3569,Lake,2017,Spring,25
3569_FT08,3569,Lake,2017,Spring,28
3569_FT09,3569,Lake,2017,Spring,27
3569_FT11,3569,Lake,2017,Summer,24
3569_FT12,3569,Lake,2017,Spring,20
3569_FT13,3569,Lake,2017,Spring,13
3569_FT14,3569,Lake,2017,Spring,18
3569_FT15,3569,Lake,2017,Spring,24
3569_FT16,3569,Lake,2017,Spring,31
3569_FT17,3569,Lake,2017,Spring,21
3569_FT20,3569,Lake,2017,Summer,15
3569_FT23,3569,Lake,2017,Summer,12
3569_FT24,3569,Lake,2017,Summer,11
3569_FT25,3569,Lake,2017,Summer,17
3569_FT26,3569,Lake,2017,Fall,10
3569_FT27,3569,Lake,2017,Fall,11
3569_FT28,3569,Lake,2017,Fall,15
3569_FT29,3569,Lake,2017,Fall,18
3569_FT30,3569,Lake,2017,Fall,13
3569_FT31,3569,Lake,2017,Fall,14
3569_FT32,3569,Lake,2017,Fall,22
2985_FT01,2985,Pond,2017,Fall,18
2985_FT02,2985,Pond,2017,Summer,18
2985_FT03,2985,Pond,2017,Summer,15
2985_FT04,2985,Pond,2017,Summer,12
2985_FT05,2985,Pond,2017,Spring,27
2985_FT08,2985,Pond,2017,Spring,6
2985_FT09,2985,Pond,2017,Spring,9
2985_FT10,2985,Pond,2017,Spring,8
2985_FT11,2985,Pond,2017,Spring,5
2985_FT14,2985,Pond,2017,Spring,20
2985_FT17,2985,Pond,2017,Summer,6
2985_FT18,2985,Pond,2017,Summer,4
2985_FT20,2985,Pond,2017,Summer,14
2985_FT21,2985,Pond,2017,Summer,12
2985_FT22,2985,Pond,2017,Summer,17
2985_FT23,2985,Pond,2017,Summer,13
2985_FT24,2985,Pond,2017,Summer,23
2985_FT25,2985,Pond,2017,Summer,18
2985_FT27,2985,Pond,2017,Summer,13
2985_FT28,2985,Pond,2017,Summer,4
2985_FT29,2985,Pond,2017,Summer,15
2985_FT30,2985,Pond,2017,Summer,12
2985_FT31,2985,Pond,2017,Summer,8
